DEPARTAMENTO,DEMANDA_TOTAL_PONDERADA,OFERTA_TOTAL,RATIO_DEMANDA_OFERTA,ESTADO
ARAUCA,42862.37330812,147,291.5807708035374,CRITICO
CAUCA,91257.05902522,727,125.5255282327648,CRITICO
CESAR,91875.904939484,822,111.7711738923163,CRITICO
TOLIMA,391123.166965645,3827,102.20098431294616,CRITICO
GUAVIARE,20689.90575057,216,95.78660069708332,ALTO
CORDOBA,87485.518051511,935,93.56739898557326,ALTO
CHOCO,51935.823585019,563,92.24835450269804,ALTO
SUCRE,116338.838914683,1265,91.96746159263478,ALTO
CUNDINAMARCA,677543.888140059,8125,83.39001700185341,ALTO
SAN ANDRES Y PROVIDENCIA,140185.092749407,1792,78.22828836462443,ALTO
CALDAS,162217.258561899,2419,67.05963561880901,ALTO
BOYACA,259737.878065216,4098,63.38161983045779,ALTO
CAQUETA,22747.715093549,377,60.33876682638992,ALTO
SANTANDER,280435.760751717,4737,59.20113167652882,ALTO
NARIÑO,83697.640176906,1553,53.89416624398326,ALTO
META,134642.641044071,2732,49.283543573964494,ALTO
QUINDIO,201351.933794052,4257,47.29902132817759,MODERADO
ATLANTICO,127042.248841649,2696,47.12249586114577,MODERADO
NORTE DE SANTANDER,62908.164550519,1441,43.65590877898613,MODERADO
ANTIOQUIA,941994.321799121,22681,41.532309942203646,MODERADO
VALLE DEL CAUCA,312489.864872383,7680,40.68878448859154,MODERADO
MAGDALENA,305871.896673797,7906,38.688577874247024,MODERADO
RISARALDA,110727.108729977,2966,37.33213375926399,MODERADO
GUAJIRA,37398.259025437,1005,37.2121980352607,MODERADO
HUILA,69141.58789917499,2055,33.64554155677615,MODERADO
CASANARE,27876.783684602,858,32.490423874827506,MODERADO
BOGOTA,316888.12554357003,13965,22.691595098,BAJO
PUTUMAYO,11813.732533881,543,21.75641350622652,BAJO
BOLIVAR,214121.870014943,10817,19.79494037301868,BAJO
VICHADA,301.04640999,83,3.6270651806024095,BAJO
GUAINIA,317.15439929,98,3.2362693805102043,BAJO
AMAZONAS,1320.29326486,484,2.727878646404959,BAJO
VAUPES,,43,,
