DEPARTAMENTO,CATEGORIA_GENERAL,NUMERO_NEGOCIOS,TOTAL_NEGOCIOS,% DEL TOTAL
ARAUCA,ALOJAMIENTO,97,147,65.98639455782312
ARAUCA,AGENCIAS DE VIAJES,33,147,22.448979591836736
ARAUCA,SERVICIOS TURÍSTICOS,9,147,6.122448979591836
ARAUCA,GASTRONOMÍA,4,147,2.7210884353741496
ARAUCA,ENTRETENIMIENTO/PARQUES,2,147,1.3605442176870748
ARAUCA,TRANSPORTE,2,147,1.3605442176870748
BOYACA,ALOJAMIENTO,3223,4098,78.64812103465106
BOYACA,AGENCIAS DE VIAJES,528,4098,12.88433382137628
BOYACA,SERVICIOS TURÍSTICOS,242,4098,5.905319668130796
BOYACA,TRANSPORTE,44,4098,1.0736944851146901
BOYACA,ENTRETENIMIENTO/PARQUES,36,4098,0.8784773060029283
BOYACA,GASTRONOMÍA,25,4098,0.6100536847242557
CALDAS,ALOJAMIENTO,1726,2419,71.35179826374535
CALDAS,AGENCIAS DE VIAJES,373,2419,15.419594873914841
CALDAS,SERVICIOS TURÍSTICOS,270,2419,11.161637040099215
CALDAS,TRANSPORTE,26,2419,1.0748243075651096
CALDAS,GASTRONOMÍA,15,2419,0.6200909466721786
CALDAS,ENTRETENIMIENTO/PARQUES,9,2419,0.37205456800330716
CAQUETA,ALOJAMIENTO,206,377,54.64190981432361
CAQUETA,AGENCIAS DE VIAJES,84,377,22.281167108753316
CAQUETA,SERVICIOS TURÍSTICOS,47,377,12.46684350132626
CAQUETA,GASTRONOMÍA,25,377,6.631299734748011
CAQUETA,TRANSPORTE,9,377,2.3872679045092835
CAQUETA,ENTRETENIMIENTO/PARQUES,6,377,1.5915119363395225
CAUCA,ALOJAMIENTO,455,727,62.58596973865199
CAUCA,AGENCIAS DE VIAJES,173,727,23.796423658872076
CAUCA,SERVICIOS TURÍSTICOS,67,727,9.21595598349381
CAUCA,GASTRONOMÍA,18,727,2.4759284731774414
CAUCA,TRANSPORTE,8,727,1.1004126547455295
CAUCA,ENTRETENIMIENTO/PARQUES,6,727,0.8253094910591471
CESAR,ALOJAMIENTO,648,822,78.83211678832117
CESAR,AGENCIAS DE VIAJES,80,822,9.732360097323602
CESAR,SERVICIOS TURÍSTICOS,44,822,5.35279805352798
CESAR,TRANSPORTE,28,822,3.40632603406326
CESAR,GASTRONOMÍA,19,822,2.3114355231143553
CESAR,ENTRETENIMIENTO/PARQUES,3,822,0.36496350364963503
CHOCO,ALOJAMIENTO,461,563,81.88277087033747
CHOCO,AGENCIAS DE VIAJES,93,563,16.518650088809945
CHOCO,GASTRONOMÍA,4,563,0.7104795737122558
CHOCO,SERVICIOS TURÍSTICOS,4,563,0.7104795737122558
CHOCO,TRANSPORTE,1,563,0.17761989342806395
CORDOBA,ALOJAMIENTO,800,935,85.56149732620321
CORDOBA,AGENCIAS DE VIAJES,66,935,7.0588235294117645
CORDOBA,TRANSPORTE,32,935,3.4224598930481283
CORDOBA,SERVICIOS TURÍSTICOS,23,935,2.4598930481283423
CORDOBA,GASTRONOMÍA,14,935,1.4973262032085561
CUNDINAMARCA,ALOJAMIENTO,6669,8125,82.08
CUNDINAMARCA,AGENCIAS DE VIAJES,882,8125,10.855384615384615
CUNDINAMARCA,SERVICIOS TURÍSTICOS,353,8125,4.344615384615385
CUNDINAMARCA,GASTRONOMÍA,100,8125,1.2307692307692308
CUNDINAMARCA,TRANSPORTE,70,8125,0.8615384615384615
CUNDINAMARCA,ENTRETENIMIENTO/PARQUES,51,8125,0.6276923076923077
GUAVIARE,ALOJAMIENTO,101,216,46.75925925925926
GUAVIARE,AGENCIAS DE VIAJES,70,216,32.407407407407405
GUAVIARE,SERVICIOS TURÍSTICOS,39,216,18.055555555555554
GUAVIARE,TRANSPORTE,3,216,1.3888888888888888
GUAVIARE,ENTRETENIMIENTO/PARQUES,2,216,0.9259259259259258
GUAVIARE,GASTRONOMÍA,1,216,0.4629629629629629
META,ALOJAMIENTO,1969,2732,72.07174231332357
META,AGENCIAS DE VIAJES,503,2732,18.41142020497804
META,SERVICIOS TURÍSTICOS,176,2732,6.44216691068814
META,GASTRONOMÍA,38,2732,1.390922401171303
META,TRANSPORTE,38,2732,1.390922401171303
META,ENTRETENIMIENTO/PARQUES,8,2732,0.29282576866764276
NARIÑO,ALOJAMIENTO,1189,1553,76.56149388280747
NARIÑO,AGENCIAS DE VIAJES,244,1553,15.71152607855763
NARIÑO,SERVICIOS TURÍSTICOS,74,1553,4.764971023824855
NARIÑO,GASTRONOMÍA,21,1553,1.3522215067611076
NARIÑO,TRANSPORTE,20,1553,1.28783000643915
NARIÑO,ENTRETENIMIENTO/PARQUES,5,1553,0.3219575016097875
SAN ANDRES Y PROVIDENCIA,ALOJAMIENTO,1302,1792,72.65625
SAN ANDRES Y PROVIDENCIA,AGENCIAS DE VIAJES,291,1792,16.238839285714285
SAN ANDRES Y PROVIDENCIA,GASTRONOMÍA,105,1792,5.859375
SAN ANDRES Y PROVIDENCIA,TRANSPORTE,76,1792,4.241071428571429
SAN ANDRES Y PROVIDENCIA,SERVICIOS TURÍSTICOS,18,1792,1.0044642857142858
SANTANDER,ALOJAMIENTO,3372,4737,71.18429385687143
SANTANDER,AGENCIAS DE VIAJES,946,4737,19.970445429596793
SANTANDER,SERVICIOS TURÍSTICOS,302,4737,6.3753430441207515
SANTANDER,TRANSPORTE,63,4737,1.3299556681443951
SANTANDER,GASTRONOMÍA,28,4737,0.5910914080641756
SANTANDER,ENTRETENIMIENTO/PARQUES,26,4737,0.5488705932024488
SUCRE,ALOJAMIENTO,1108,1265,87.58893280632411
SUCRE,AGENCIAS DE VIAJES,106,1265,8.379446640316205
SUCRE,SERVICIOS TURÍSTICOS,24,1265,1.8972332015810278
SUCRE,TRANSPORTE,20,1265,1.5810276679841897
SUCRE,GASTRONOMÍA,7,1265,0.5533596837944664
TOLIMA,ALOJAMIENTO,3089,3827,80.715965508231
TOLIMA,AGENCIAS DE VIAJES,449,3827,11.732427488894695
TOLIMA,SERVICIOS TURÍSTICOS,191,3827,4.990854455186831
TOLIMA,GASTRONOMÍA,45,3827,1.1758557616932321
TOLIMA,TRANSPORTE,39,3827,1.019074993467468
TOLIMA,ENTRETENIMIENTO/PARQUES,14,3827,0.3658217925267834
